Month,christmas: (India),new year: (India)
2004-01,2,29
2004-02,1,2
2004-03,<1,2
2004-04,1,1
2004-05,1,1
2004-06,1,<1
2004-07,2,1
2004-08,2,1
2004-09,3,1
2004-10,3,1
2004-11,10,5
2004-12,69,75
2005-01,3,17
2005-02,<1,3
2005-03,1,<1
2005-04,1,6
2005-05,<1,1
2005-06,1,<1
2005-07,1,1
2005-08,1,1
2005-09,2,1
2005-10,3,2
2005-11,11,3
2005-12,58,97
2006-01,2,24
2006-02,1,1
2006-03,1,2
2006-04,1,4
2006-05,1,<1
2006-06,2,<1
2006-07,1,<1
2006-08,2,1
2006-09,2,1
2006-10,3,3
2006-11,8,3
2006-12,59,85
2007-01,2,29
2007-02,2,2
2007-03,1,2
2007-04,<1,3
2007-05,1,1
2007-06,1,1
2007-07,1,1
2007-08,1,1
2007-09,1,<1
2007-10,2,1
2007-11,8,3
2007-12,57,85
2008-01,2,25
2008-02,2,2
2008-03,1,1
2008-04,1,4
2008-05,1,1
2008-06,1,1
2008-07,1,1
2008-08,1,1
2008-09,1,1
2008-10,2,3
2008-11,7,3
2008-12,53,80
2009-01,2,25
2009-02,1,1
2009-03,1,2
2009-04,1,5
2009-05,1,1
2009-06,1,1
2009-07,1,1
2009-08,1,1
2009-09,1,1
2009-10,2,3
2009-11,8,3
2009-12,59,100
2010-01,3,29
2010-02,2,4
2010-03,1,3
2010-04,1,5
2010-05,1,1
2010-06,1,1
2010-07,1,1
2010-08,1,1
2010-09,1,1
2010-10,1,1
2010-11,6,4
2010-12,55,92
2011-01,3,21
2011-02,2,3
2011-03,1,2
2011-04,1,4
2011-05,1,1
2011-06,1,1
2011-07,1,1
2011-08,1,1
2011-09,1,1
2011-10,2,3
2011-11,6,2
2011-12,48,84
2012-01,4,25
2012-02,3,2
2012-03,2,2
2012-04,1,3
2012-05,1,1
2012-06,1,1
2012-07,1,1
2012-08,1,1
2012-09,1,1
2012-10,2,2
2012-11,5,4
2012-12,43,61
2013-01,2,23
2013-02,1,2
2013-03,1,2
2013-04,1,5
2013-05,1,1
2013-06,1,1
2013-07,1,1
2013-08,1,1
2013-09,1,1
2013-10,2,2
2013-11,5,4
2013-12,46,78
2014-01,2,26
2014-02,1,2
2014-03,1,2
2014-04,1,4
2014-05,1,1
2014-06,1,2
2014-07,1,2
2014-08,1,8
2014-09,1,16
2014-10,2,62
2014-11,6,40
2014-12,50,87
2015-01,2,35
2015-02,1,8
2015-03,1,6
2015-04,1,7
2015-05,1,3
2015-06,1,3
2015-07,1,3
2015-08,1,3
2015-09,1,2
2015-10,2,3
2015-11,5,6
2015-12,51,79
2016-01,2,27
2016-02,1,3
2016-03,1,2
2016-04,1,5
2016-05,1,2
2016-06,1,2
2016-07,1,2
2016-08,1,2
2016-09,1,2
2016-10,2,5
2016-11,5,4
2016-12,47,71
2017-01,2,24
2017-02,1,3
2017-03,1,3
2017-04,1,4
2017-05,1,2
2017-06,1,2
2017-07,1,2
2017-08,1,2
2017-09,1,2
2017-10,2,4
2017-11,5,3
2017-12,48,65
2018-01,2,22
2018-02,1,3
2018-03,1,3
2018-04,1,4
2018-05,1,1
2018-06,1,1
2018-07,1,2
2018-08,1,2
2018-09,2,2
2018-10,2,2
2018-11,5,4
2018-12,37,43
2019-01,3,19
2019-02,2,2
2019-03,2,2
2019-04,1,3
2019-05,1,1
2019-06,1,1
2019-07,1,1
2019-08,1,2
2019-09,2,1
2019-10,2,3
2019-11,5,2
2019-12,39,45
2020-01,3,19
2020-02,2,2
2020-03,1,2
2020-04,1,3
2020-05,1,1
2020-06,1,1
2020-07,1,1
2020-08,1,2
2020-09,1,1
2020-10,1,1
2020-11,4,4
2020-12,21,5
